"domain","question","generated_answer","gold_answer","bleu","rouge-1","rouge-2","rouge-l","embedding_similarity","question_id"
"IndianConstitution","What is the description of Part b'Part I' - Article b'\nArticle\n1\n' - b'Name and Territory of the Union'? Please provide the full text of this article.",":Article 1 of the Indian Constitution states:  1.  Name and territory of the Union. —(1) India, that is Bharat, shall be a Union of States.  [(2) The States and the territories thereof shall be as specified in the First Schedule.]  (3) The territory of India shall comprise— (a) the territories of the States; [(b) the Union territories specified in the First Schedule; and]","b'\n(1) India, that is Bharat, shall be a Union of States.\n(2) The States and the territories thereof shall be as specified in the First Schedule.\n(3) The territory of India shall comprise \xe2\x80\x94\n(a) the territories of the States;\n(b) the Union territories specified in the First Schedule; and\n(c) such other territories as may be acquired.\n\xc2\xa0\n'","0.5988177334257531","0.6301369813098143","0.5961538411612427","0.6301369813098143","0.9072113633155823","Part b'Part I' - Article b'\nArticle\n1\n'"
"IndianConstitution","What is the description of Part b'Part I' - Article b'\nArticle\n2\n' - b'Admission or establishment of new States'? Please provide the full text of this article.",": Article 2 of the Indian Constitution deals with the admission or establishment of new States. The text retrieved from the constitution store is: ""2. Admission or establishment of new States. [2A. Sikkim to be associated with the Union. —Omitted.] 3. Formation of new States and alteration of areas, boundaries or names of existing States. 4. Laws made under articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters.""","b'\nParliament may by law admit into the Union, or establish, new States on such terms and conditions as it thinks fit.\n'","3.068946705435501e-155","0.12987012578849735","0.021052628135180617","0.12987012578849735","0.8463990688323975","Part b'Part I' - Article b'\nArticle\n2\n'"
"IndianConstitution","What is the description of Part b'Part I' - Article b'\nArticle\n3\n' - b'Formation of new States and alteration of areas, boundaries or names of existing States'? Please provide the full text of this article.",":Article 3 of the Indian Constitution states: ""Parliament may by law—(a) form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State; (b) increase the area of any State; (c) diminish the area of any State; (d) alter the boundaries of any State; (e) alter the name of any State.""","b'\nParliament may by law\xe2\x80\x94\n(a) form a new State by separation of territory from any State or by uniting two or more States or parts of States or by uniting any territory to a part of any State;\n(b) increase the area of any State;\n(c) diminish the area of any State;\n(d) alter the boundaries of any State;\n(e) alter the name of any State:\nProvided that no Bill for the purpose shall be introduced in either House of Parliament except on the recommendation of the President and unless, where the proposal contained in the Bill affects the area, boundaries or name of any of the States, the Bill has been referred by the President to the Legislature of that State for expressing its views thereon within such period as may be specified in the reference or within such further period as the President may allow and the period so specified or allowed has expired.\nExplanation I.\xe2\x80\x94In this article, in clauses (a) to (e), \xe2\x80\x9cState\xe2\x80\x9d includes a Union territory, but in the proviso, \xe2\x80\x9cState\xe2\x80\x9d does not include a Union territory.\nExplanation II.\xe2\x80\x94The power conferred on Parliament by clause (a) includes the power to form a new State or Union territory by uniting a part of any State or Union territory to any other State or Union territory.\n'","0.14137433356776666","0.37410071538740236","0.3333333296047922","0.37410071538740236","0.8951646089553833","Part b'Part I' - Article b'\nArticle\n3\n'"
"IndianConstitution","What is the description of Part b'Part I' - Article b'\nArticle\n4\n' - b'Laws made under articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters'? Please provide the full text of this article.",":Article 4 of the Indian Constitution states:  ""4. Laws made under articles 2 and 3 to provide for the amendment of the First and the Fourth Schedules and supplemental, incidental and consequential matters. —(1) Any law referred to in article 2 or article 3 shall contain such provisions for the amendment of the First Schedule and the Fourth Schedule as may be necessary to give effect to the provisions of the law and may also contain such supplemental, incidental and consequential provisions (including provisions as to representation in Parliament and in the Legislature or Legislatures of the State or States affected by such law) as Parliament may deem necessary. (2) No such law as aforesaid shall be deemed to be an amendment of this Constitution for the purposes of article 368.""","b'\n(1) Any law referred to in article 2 or article 3 shall contain such provisions for the amendment of the First Schedule and the Fourth Schedule as may be necessary to give effect to the provisions of the law and may also contain such supplemental, incidental and consequential provisions (including provisions as to representation in Parliament and in the Legislature or Legislatures of the State or States affected by such law) as Parliament may deem necessary.\n(2) No such law as aforesaid shall be deemed to be an amendment of this Constitution for the purposes of article 368.\n'","0.6871336396944503","0.8474576221703534","0.8557692258251665","0.8474576221703534","0.969147264957428","Part b'Part I' - Article b'\nArticle\n4\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n5\n' - b'Citizenship at the commencement of the Constitution'? Please provide the full text of this article.",":Article 5 of the Indian Constitution, titled ""Citizenship at the commencement of the Constitution,"" states:  At the commencement of this Constitution, every person who has his domicile in the territory of India and—  (a) who was born in the territory of India; or (b) either of whose parents was born in the territory of India; or (c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement, shall be a citizen of India.","b'\nAt the commencement of this Constitution, every person who has his domicile in the territory of India and \xe2\x80\x94\n(a) who was born in the territory of India; or\n(b) either of whose parents was born in the territory of India; or\n(c) who has been ordinarily resident in the territory of India for not less than five years immediately preceding such commencement,\nshall be a citizen of India.\n'","0.6523943781190916","0.7526881670898372","0.6902654817918397","0.7526881670898372","0.9363470077514648","Part b'Part II' - Article b'\nArticle\n5\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n6\n' - b'Rights of citizenship of certain persons who have migrated to India from Pakistan'? Please provide the full text of this article.",": Article 6 of the Indian Constitution states that a person who has migrated to India from Pakistan shall be deemed to be a citizen of India at the commencement of the Constitution if: (a) he or either of his parents or any of his grandparents was born in India as defined in the Government of India Act, 1935; and (b)(i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration, or (ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him therefor to such officer before the commencement of this Constitution in the form and manner prescribed by that Government.","b'\nNotwithstanding anything in article 5, a person who has migrated to the territory of India from the territory now included in Pakistan shall be deemed to be a citizen of India at the commencement of this Constitution if\xe2\x80\x94\n(a) he or either of his parents or any of his grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted); and\n(b) (i) in the case where such person has so migrated before the nineteenth day of July, 1948, he has been ordinarily resident in the territory of India since the date of his migration, or\n(ii) in the case where such person has so migrated on or after the nineteenth day of July, 1948, he has been registered as a citizen of India by an officer appointed in that behalf by the Government of the Dominion of India on an application made by him therefor to such officer before the commencement of this Constitution in the form and manner prescribed by that Government:\nProvided that no person shall be so registered unless he has been resident in the territory of India\nfor at least six months immediately preceding the date of his application.\n'","0.6919995800476805","0.785714280749008","0.751824812544888","0.785714280749008","0.9823001027107239","Part b'Part II' - Article b'\nArticle\n6\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n7\n' - b'Rights of citizenship of certain migrants to Pakistan'? Please provide the full text of this article.","Agent stopped due to max iterations.","b'\nNotwithstanding anything in articles 5 and 6, a person who has after the first day of March, 1947, migrated from the territory of India to the territory now included in Pakistan shall not be deemed to be a citizen of India:\nProvided that nothing in this article shall apply to a person who, after having so migrated to the territory now included in Pakistan, has returned to the territory of India under a permit for resettlement or permanent return issued by or under the authority of any law and every such person shall for the purposes of clause (b) of article 6 be deemed to have migrated to the territory of India after the nineteenth day of July, 1948.\n'","3.0206570095103144e-239","0.028169012537195087","0.0","0.028169012537195087","0.6712899208068848","Part b'Part II' - Article b'\nArticle\n7\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n8\n' - b'Rights of citizenship of certain persons of Indian origin residing outside India'? Please provide the full text of this article.",": Article 8 of the Indian Constitution states: ""Rights of citizenship of certain persons of Indian origin residing outside India. —Notwithstanding anything in article 5, any person who or either of whose parents or any of whose grand-parents was born in India as defined in the Government of India Act, 1935 (as originally enacted), and who is ordinarily residing in any country outside India as so defined shall be deemed to be a citizen of India if he has been registered as a citizen of India by the diplomatic or consular representative of India in the country where he is for the time being residing on an application made by him therefor to such diplomatic""","b'\nNotwithstanding anything in article 5, any person who or either of whose parents or any of whose grandparents was born in India as defined in the Government of India Act, 1935 (as originally enacted), and who is ordinarily residing in any country outside India as so defined shall be deemed to be a citizen of India if he has been registered as a citizen of India by the diplomatic or consular representative of India in the country where he is for the time being residing on an application made by him therefor to such diplomatic or consular representative, whether before or after the commencement of this Constitution, in the form and manner prescribed by the Government of the Dominion of India or the Government of India.\n'","0.7295875772793874","0.8028168964084508","0.7793427180056868","0.8028168964084508","0.9651360511779785","Part b'Part II' - Article b'\nArticle\n8\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n9\n' - b'Persons voluntarily acquiring citizenship of a foreign State not to be citizens'? Please provide the full text of this article.",": Article 9 of the Indian Constitution specifies that if a person voluntarily acquires citizenship of a foreign state, they will no longer be considered a citizen of India.","b'\nNo person shall be a citizen of India by virtue of article 5, or be deemed to be a citizen of India by virtue of article 6 or article 8, if he has voluntarily acquired the citizenship of any foreign State.\n'","0.07501865190431642","0.41509433463866147","0.13114753601719986","0.18867924029903896","0.9081844687461853","Part b'Part II' - Article b'\nArticle\n9\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n10\n' - b'Continuance of the rights of citizenship'? Please provide the full text of this article.","Agent stopped due to max iterations.","b'\nEvery person who is or is deemed to be a citizen of India under any of the foregoing provisions of this Part shall, subject to the provisions of any law that may be made by Parliament, continue to be such citizen.\n'","5.671230073726419e-234","0.05555555277777792","0.0","0.05555555277777792","0.6410356163978577","Part b'Part II' - Article b'\nArticle\n10\n'"
"IndianConstitution","What is the description of Part b'Part II' - Article b'\nArticle\n11\n' - b'Parliament to regulate the right of citizenship by law'? Please provide the full text of this article.",": The provided text does not contain Article 11. It seems to be related to tribunals. Please provide the correct information to search for Article 11.","b'\nNothing in the foregoing provisions of this Part shall derogate from the power of Parliament to make any provision with respect to the acquisition and termination of citizenship and all other matters relating to citizenship.\n'","8.899737129325208e-232","0.0799999950720003","0.0","0.0799999950720003","0.8242325782775879","Part b'Part II' - Article b'\nArticle\n11\n'"
"IndianConstitution","What is the description of Part b'Part III' - Article b'\nArticle\n12\n' - b'Definitions'? Please provide the full text of this article.",": I am unable to provide the full and accurate text of Article 12. The search result contains extraneous information (application of acts to specific districts) and appears incomplete. To ensure accuracy, I recommend consulting a reliable source of the Indian Constitution for the complete text of Article 12.","b'\nIn this Part, unless the context otherwise requires, \xe2\x80\x9cthe State\xe2\x80\x99\xe2\x80\x99 includes the Government and Parliament of India and the Government and the Legislature of each of the States and all local or other authorities within the territory of India or under the control of the Government of India.\n\xc2\xa0\n'","3.714094757177986e-155","0.08955223389619095","0.0232558089643061","0.08955223389619095","0.8030106425285339","Part b'Part III' - Article b'\nArticle\n12\n'"
"IndianConstitution","What is the description of Part b'Part III' - Article b'\nArticle\n13\n' - b'Laws inconsistent with or in derogation of the fundamental rights'? Please provide the full text of this article.",": Article 13 of the Indian Constitution states:  1.  All laws in force in India before the commencement of the Constitution that are inconsistent with Part III (Fundamental Rights) are void to the extent of the inconsistency. 2.  The State shall not make any law which takes away or abridges the rights conferred by Part III, and any law contravening this clause shall be void to the extent of the contravention. 3.  ""Law"" includes any Ordinance, order, bye-law, rule, regulation, notification, custom, or usage having the force of law.","b'\n(1) All laws in force in the territory of India immediately before the commencement of this Constitution, in so far as they are inconsistent with the provisions of this Part, shall, to the extent of such inconsistency, be void.\n(2) The State shall not make any law which takes away or abridges the rights conferred by this Part and any law made in contravention of this clause shall, to the extent of the contravention, be void.\n(3) In this article, unless the context otherwise requires,\xe2\x80\x94\n(a) \xe2\x80\x9claw\xe2\x80\x9d includes any Ordinance, order, bye-law, rule, regulation, notification, custom or usage having in the territory of India the force of law;\n(b) \xe2\x80\x9claws in force\xe2\x80\x9d includes laws passed or made by a Legislature or other competent authority in the territory of India before the commencement of this Constitution and not previously repealed, notwithstanding that any such law or any part thereof may not be then in operation either at all or in particular areas.\n(4) Nothing in this article shall apply to any amendment of this Constitution made under article 368.\n'","0.18637296627188296","0.5696969649763086","0.3675213630214041","0.5454545407338844","0.9434410333633423","Part b'Part III' - Article b'\nArticle\n13\n'"
"IndianConstitution","What is the description of Part b'Part III' - Article b'\nArticle\n14\n' - b'Equality before law'? Please provide the full text of this article.",": Article 14 states: ""The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India.""","b'\nThe State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India.\n\xc2\xa0\n'","0.6715814036507264","0.8260869515595464","0.8461538411834321","0.8260869515595464","0.8891184329986572","Part b'Part III' - Article b'\nArticle\n14\n'"
